,Open,High,Low,Close,Volume
2021-02-17 08:52:47.134263,249.8260280614186,252.95565151629256,246.35610972774677,250.0,3872056
2021-02-19 08:52:47.134263,253.10446164620046,254.465823528255,249.4271185793365,252.7895020249302,1369798
2021-02-22 08:52:47.134263,263.00130552431693,265.0727072487062,257.714950903294,260.6160159553524,2831601
2021-02-23 08:52:47.134263,257.84049602767044,260.6006720435588,257.74689093339407,259.52584157047215,2577917
2021-02-26 08:52:47.134263,271.15369178555466,276.05782545040586,266.45337831803636,270.9595347312482,4866936
2021-03-01 08:52:47.134263,266.3845856837896,271.27352149674994,263.6181145872368,268.55084327499037,4832552
2021-03-02 08:52:47.134263,271.329633543385,273.82313781088,268.0695793359986,271.5992178412744,1990526
2021-03-03 08:52:47.134263,270.59701404061786,273.58379776865814,268.66081381975874,269.2177397921616,2392207
2021-03-04 08:52:47.134263,266.0311998291176,271.3054087164514,264.6991178329942,266.84469442985477,4582222
2021-03-05 08:52:47.134263,269.1542592773673,270.05177781888455,264.3584014707321,268.2694437454615,4866488
2021-03-08 08:52:47.134263,259.6634236753793,261.71907068249226,254.11205652076188,258.1380859280637,2773756
2021-03-09 08:52:47.134263,251.49225194738816,253.20758691999742,248.772231012725,249.36181521766574,2283988
2021-03-11 08:52:47.134263,241.32170196346945,242.5417675074599,238.36460993369948,241.8086275677909,3751076
2021-03-12 08:52:47.134263,241.75690473678324,247.71394843544823,241.71302451565757,243.44928620580882,2093898
2021-03-15 08:52:47.134263,241.50540174660892,241.72834226596564,237.93267111900758,239.14985458804517,3945892
2021-03-17 08:52:47.134263,239.63768241946042,241.48271722875864,236.8588764467959,239.44633065487687,1197177
2021-03-19 08:52:47.134263,239.0263073254811,239.53717361918504,234.3500941228234,238.92615914521988,2413892
2021-03-22 08:52:47.134263,232.81145443846967,235.79320218466714,229.60968691999753,232.23742998717051,2262532
2021-03-23 08:52:47.134263,227.9364380284371,229.8250812838608,227.46030602565597,229.82502780470128,2964079
2021-03-24 08:52:47.134263,231.62633639078112,232.36974626830704,230.0577715300899,230.44979606388844,2282934
2021-03-25 08:52:47.134263,223.5828703279252,227.6141101319083,222.7873134559846,225.26009625816408,1769031
2021-03-29 08:52:47.134263,225.7172007404757,228.81934069984018,221.72572557163332,224.451170055155,4899617
2021-03-30 08:52:47.134263,224.18603724441644,224.26364315498282,221.5182815199492,223.25397557140502,2644453
2021-04-02 08:52:47.134263,227.9320986627175,230.072511449411,227.57468989189914,229.0171242227884,4933363
2021-04-07 08:52:47.134263,224.57927877438266,226.93869530972535,218.23736346150585,222.63364848685708,3863938
2021-04-08 08:52:47.134263,223.91565088282178,224.6783433425652,221.68826962982467,223.67496659494032,3429297
2021-04-09 08:52:47.134263,214.18389697394724,217.87159216379078,212.73295739182868,215.02022108831954,1354313
2021-04-12 08:52:47.134263,208.98451968112226,212.52329317696473,205.75700018908526,209.41599404125247,3707489
2021-04-13 08:52:47.134263,210.12310600170977,213.91446432432522,206.1569566809137,210.34521986622755,1256378
2021-04-14 08:52:47.134263,213.98670336197168,215.36215967656554,211.0681951938555,213.55705077882058,3384570
2021-04-15 08:52:47.134263,214.46299945743664,215.694709478441,210.9119484316858,214.39576739876932,3958324
2021-04-19 08:52:47.134263,212.8123873963624,215.85858950642705,211.52391128548388,212.82531235034287,4366488
2021-04-20 08:52:47.134263,208.67236168402093,210.01394674671442,204.97410597193675,206.63838691818208,1121415
2021-04-22 08:52:47.134263,200.81381590939233,203.48992094368793,199.23544633887465,201.99138319724062,2841316
2021-04-23 08:52:47.134263,208.14014865405088,210.08551166682446,205.06189557941363,206.36297050248936,1870351
2021-04-27 08:52:47.134263,201.93210399171096,204.6105235586275,198.1202177517894,200.65812671506922,4813228
2021-04-28 08:52:47.134263,201.57663452640344,205.10711127064607,201.54046936723412,202.05905742236962,1290662
2021-04-29 08:52:47.134263,202.12036215220743,202.18142951224283,198.28294263691367,200.60389969886126,1796373
2021-04-30 08:52:47.134263,199.44575643336404,200.32712584738593,195.2425478972633,197.9883377876441,2391289
2021-05-03 08:52:47.134263,201.73624592640738,203.16021918269234,197.699843191069,200.50942739037228,3480939
2021-05-05 08:52:47.134263,207.8449272716672,210.93233559657463,205.01742280222572,208.6600404463837,1502573
2021-05-06 08:52:47.134263,203.5417190634414,208.17408154622862,203.20969409557685,205.2621472198279,2158911
2021-05-07 08:52:47.134263,203.6993604111467,204.77837649291223,201.11457655949852,204.0953863691545,1955007
2021-05-10 08:52:47.134263,204.20748257973557,208.75879189316598,203.00420640321963,205.5496208227847,1854171
2021-05-11 08:52:47.134263,210.48033428748568,212.11076360065897,208.8802250027957,209.6628542527064,2644577
2021-05-14 08:52:47.134263,203.18338204860086,203.68729486636585,200.8168489450622,202.61212899420738,2466715
2021-05-17 08:52:47.134263,199.1422751721945,200.24665823119713,195.42402851898828,197.8661156422653,2563669
2021-05-18 08:52:47.134263,199.70189804707758,202.37371654846345,197.76057082544813,201.18047526681,4905826
2021-05-19 08:52:47.134263,208.2348891070636,209.69201888560772,205.92661665564776,206.7380457749184,4818665
2021-05-20 08:52:47.134263,208.29002659589185,209.67902489605729,206.0250398737023,206.54367016157522,4200550
2021-05-21 08:52:47.134263,210.73786436773457,211.22460109508205,206.73052416398178,210.792409353826,1966635
2021-05-24 08:52:47.134263,212.87381823725983,214.60549219347794,211.96338642930033,212.42240813908157,1272149
2021-05-25 08:52:47.134263,210.8989391436751,211.9230427348952,207.78022913996588,209.78786150692483,2267616
2021-05-26 08:52:47.134263,210.03424230536464,212.970469847339,208.93321383582753,211.4090836624305,2067178
2021-05-27 08:52:47.134263,218.0290752387085,222.0857723583075,215.6573000893031,218.01788622737934,3023703
2021-06-02 08:52:47.134263,214.96833118382878,218.84347158092862,214.3015014902257,216.8410909343994,2438702
2021-06-03 08:52:47.134263,215.26594140950294,221.3301589822875,214.96100206876622,217.32701910465474,3748937
2021-06-07 08:52:47.134263,218.64735150526965,219.79929953124784,213.87740182951438,216.6407593167548,1243622
2021-06-08 08:52:47.134263,208.34348980758833,211.72431147050202,204.72357802633874,208.13731091934287,3806261
2021-06-10 08:52:47.134263,208.62934663200758,212.2835118881555,206.83008553077198,208.9113858677489,2636730
2021-06-11 08:52:47.134263,214.38091061126897,216.03109912842768,212.22415397340941,215.19081942173565,2317517
2021-06-14 08:52:47.134263,213.09404764567762,214.53950049047558,211.99268364978417,213.06787497240276,3773510
2021-06-15 08:52:47.134263,209.47540541523554,211.13687439461998,208.43815815623637,209.7291286319443,4064981
2021-06-16 08:52:47.134263,206.0910316123136,211.7947006803882,205.1799200138801,207.72933184554176,2216378
